ID,ID game,ID player,ID team,total time on ice,throws by,a shot on target,accurate transmission,blocked throws,skill,amplua
618,6557,82,209,563,0,1,0,0,0.0,10.0
619,6557,7213,209,537,0,1,0,1,0.0,10.0
620,6557,6487,209,949,0,1,0,0,0.0,10.0
621,6557,4389,209,988,2,4,0,1,0.0,10.0
622,6557,22,209,829,1,4,0,0,0.0,10.0
623,103,18,9,0,0,0,0,0,6.0,10.0
624,103,828,9,0,0,0,0,0,0.0,9.0
625,103,189,9,0,0,0,0,0,0.0,9.0
626,103,181,9,0,0,0,0,0,0.0,9.0
627,103,544,9,0,0,0,0,0,0.0,9.0
628,103,624,9,0,0,0,0,0,0.0,10.0
629,103,177,9,0,0,0,0,0,0.0,10.0
630,103,186,9,0,0,0,0,0,0.0,10.0
631,103,139,9,0,0,0,0,0,0.0,10.0
632,103,860,9,0,0,0,0,0,0.0,9.0
633,103,482,9,0,0,0,0,0,0.0,10.0
634,103,174,9,0,0,0,0,0,11.0,10.0
635,103,116,11,0,0,0,0,0,0.0,9.0
636,103,818,11,0,0,0,0,0,0.0,10.0
637,103,816,11,118,0,0,0,1,6.0,9.0
638,103,815,11,118,0,0,0,0,0.0,9.0
639,103,118,11,0,0,0,0,0,0.0,9.0
640,103,821,11,0,0,0,0,0,0.0,9.0
641,103,121,11,120,0,0,0,0,0.0,10.0
642,103,822,11,119,0,0,0,0,0.0,10.0
643,103,214,11,119,0,1,0,0,0.0,10.0
644,103,813,11,0,0,0,0,0,11.0,10.0
645,103,115,11,0,0,0,0,0,0.0,10.0
646,6737,995,31,0,0,0,0,0,0.0,8.0
647,6737,697,31,25,0,0,0,0,0.0,9.0
648,6737,696,31,26,0,0,0,0,0.0,9.0
649,6737,2894,31,35,0,0,0,0,9.0,9.0
650,6737,693,31,33,0,0,0,0,0.0,9.0
651,6737,187,31,59,0,0,0,0,0.0,10.0
652,6737,2897,31,60,0,0,0,0,0.0,10.0
653,6737,1116,31,58,0,1,0,0,11.0,10.0
654,6737,2895,31,0,0,0,0,0,0.0,10.0
655,6737,281,31,0,0,0,0,0,0.0,10.0
656,6737,1575,31,0,0,0,0,0,0.0,10.0
657,6737,4489,31,0,0,0,0,0,0.0,10.0
658,6737,4485,31,0,0,0,0,0,0.0,10.0
659,6737,222,35,0,0,0,0,0,0.0,8.0
660,6737,1304,35,0,0,0,0,0,9.0,10.0
661,6737,990,35,0,0,0,0,0,0.0,10.0
662,6737,755,35,0,0,0,0,0,14.0,10.0
663,6737,4329,35,0,0,0,0,0,0.0,9.0
664,6737,4541,35,0,0,0,0,0,0.0,10.0
665,6737,765,35,0,0,0,0,0,0.0,9.0
666,6737,3449,35,0,0,0,0,0,11.0,10.0
667,6737,763,35,0,0,0,0,0,0.0,10.0
668,6737,988,35,0,0,0,0,0,14.0,10.0
669,6737,3452,35,0,0,0,0,0,0.0,9.0
670,6737,1576,35,0,0,0,0,0,0.0,10.0
671,6737,3456,35,0,0,0,0,0,11.0,10.0
672,6737,378,35,0,0,0,0,0,0.0,10.0
673,6737,366,35,0,0,0,0,0,0.0,10.0
674,6737,759,35,0,0,0,0,0,8.0,9.0
675,6757,7064,403,0,0,0,0,0,0.0,8.0
676,6757,6045,403,0,0,0,0,0,0.0,8.0
677,6757,6608,403,977,0,1,0,1,0.0,9.0
678,6757,7617,403,630,0,1,0,1,0.0,9.0
679,6757,4476,403,1222,3,1,0,1,0.0,9.0
680,6757,5248,403,1147,0,0,0,2,0.0,9.0
681,6757,6284,403,1070,0,0,0,1,0.0,9.0
682,6757,6285,403,1028,1,4,0,2,0.0,10.0
683,6757,6760,403,1079,3,4,0,2,0.0,10.0
684,6757,4218,403,734,0,2,0,0,0.0,10.0
685,6757,364,403,837,3,2,0,0,0.0,10.0
686,6757,4484,403,894,0,1,0,0,0.0,10.0
687,6757,5534,403,612,1,2,0,0,0.0,10.0
688,6757,7211,403,761,4,3,0,1,0.0,10.0
689,6757,7144,404,0,0,0,0,0,0.0,8.0
690,6757,7018,404,572,4,0,0,0,0.0,9.0
691,6757,7006,404,226,1,0,0,0,0.0,9.0
692,6757,6336,404,1002,3,1,0,1,0.0,10.0
693,6757,7015,404,792,1,1,0,1,0.0,9.0
694,6757,6252,404,816,0,3,0,0,0.0,10.0
