ID,ID game,ID player,ID team,None,total time on ice,throws by,a shot on target,blocked throws,skill,amplua
1178.0,6838,7792.0,431,,643.0,,,,0.0,9.0
1179.0,6838,1619.0,431,,827.0,2.0,3.0,,4.0,9.0
1180.0,6838,5246.0,431,,1166.0,4.0,1.0,,0.0,10.0
1181.0,6838,7060.0,431,,695.0,,1.0,,0.0,10.0
1182.0,6838,7057.0,431,,973.0,3.0,4.0,2.0,0.0,10.0
1183.0,6838,6305.0,431,,615.0,1.0,1.0,,0.0,9.0
1184.0,6838,7059.0,431,,832.0,2.0,3.0,,0.0,10.0
1185.0,6838,1165.0,431,,770.0,5.0,5.0,,0.0,9.0
1186.0,6838,7220.0,431,,1100.0,1.0,3.0,,0.0,10.0
1187.0,6838,7049.0,431,,852.0,1.0,4.0,,0.0,10.0
1188.0,6838,7056.0,431,,1042.0,7.0,6.0,,0.0,10.0
1189.0,6838,5509.0,176,,,,,,0.0,8.0
1190.0,6838,2237.0,176,,884.0,,,,0.0,9.0
1191.0,6838,1536.0,176,,1522.0,2.0,1.0,,0.0,9.0
1192.0,6838,7776.0,176,,1585.0,,,,0.0,9.0
1193.0,6838,6518.0,176,,930.0,1.0,,,0.0,9.0
1194.0,6838,2244.0,176,,1239.0,1.0,2.0,,0.0,10.0
1195.0,6838,4362.0,176,,914.0,2.0,4.0,,0.0,10.0
1196.0,6838,7780.0,176,,607.0,1.0,,,0.0,10.0
1197.0,6838,1549.0,176,,602.0,,,,0.0,10.0
1198.0,6838,5544.0,176,,1500.0,8.0,7.0,,0.0,10.0
1199.0,6838,6303.0,176,,1221.0,2.0,,1.0,0.0,10.0
1200.0,6838,2241.0,176,,1457.0,2.0,2.0,2.0,0.0,10.0
1201.0,6815,6325.0,438,,,,,,0.0,8.0
1202.0,6815,5648.0,438,,777.0,1.0,,1.0,0.0,9.0
1203.0,6815,6643.0,438,,689.0,2.0,,,0.0,10.0
1204.0,6815,2443.0,438,,774.0,5.0,,,0.0,9.0
1205.0,6815,2501.0,438,,857.0,,1.0,1.0,0.0,10.0
1206.0,6815,5114.0,438,,749.0,1.0,2.0,2.0,0.0,9.0
1207.0,6815,5654.0,438,,818.0,2.0,,2.0,0.0,10.0
1208.0,6815,7098.0,438,,1003.0,2.0,4.0,,0.0,10.0
1209.0,6815,5650.0,438,,952.0,1.0,9.0,,0.0,10.0
1210.0,6815,5797.0,438,,731.0,2.0,1.0,,0.0,9.0
1211.0,6815,4359.0,438,,795.0,,1.0,,0.0,9.0
1212.0,6815,7090.0,438,,811.0,10.0,8.0,,0.0,10.0
1213.0,6815,3042.0,438,,906.0,1.0,1.0,,0.0,10.0
1214.0,6815,7097.0,438,,947.0,2.0,,1.0,0.0,10.0
1215.0,6815,6532.0,438,,726.0,2.0,6.0,,0.0,10.0
1216.0,6815,7102.0,438,,919.0,1.0,1.0,,0.0,10.0
1217.0,6815,2438.0,375,,,,,,0.0,8.0
1218.0,6815,5565.0,375,,936.0,,1.0,1.0,0.0,9.0
1219.0,6815,5563.0,375,,1065.0,,3.0,2.0,0.0,9.0
1220.0,6815,6209.0,375,,862.0,1.0,,1.0,0.0,9.0
1221.0,6815,7768.0,375,,583.0,1.0,,1.0,0.0,10.0
1222.0,6815,6246.0,375,,603.0,,,,0.0,9.0
1223.0,6815,6287.0,375,,901.0,3.0,,,0.0,9.0
1224.0,6815,4189.0,375,,695.0,,,2.0,0.0,10.0
1225.0,6815,4402.0,375,,602.0,2.0,4.0,,0.0,10.0
1226.0,6815,4192.0,375,,923.0,1.0,2.0,,0.0,10.0
1227.0,6815,1058.0,375,,762.0,2.0,2.0,,0.0,10.0
1228.0,6815,5598.0,375,,863.0,4.0,1.0,,0.0,10.0
1229.0,6815,7110.0,375,,524.0,1.0,2.0,,0.0,10.0
1230.0,6815,7767.0,375,,595.0,,,,0.0,10.0
1231.0,6815,7766.0,375,,508.0,,,,0.0,10.0
1232.0,6815,5782.0,375,,697.0,1.0,3.0,1.0,0.0,10.0
1233.0,6815,4188.0,375,,925.0,2.0,2.0,2.0,0.0,10.0
1234.0,1111,1201.0,61,,,,,,0.0,8.0
