ID game,ID team,rating,date,old_rating
<<<<<<< HEAD
10902,22.0,95.72,2024-09-29,338.69
10902,189.0,-77.4,2024-09-29,45.28
10903,336.0,135.89,2024-09-29,119.24
10903,438.0,713.56,2024-09-29,928.58
10904,207.0,9.31,2024-09-29,-60.59
10904,214.0,270.46,2024-09-29,180.96
10906,215.0,256.94,2024-09-29,8.87
10906,411.0,-11.57,2024-09-29,-13.34
10918,398.0,507.1,2024-09-29,511.06
10918,431.0,667.01,2024-09-29,319.49
10922,176.0,106.18,2024-09-29,185.16
10922,499.0,-26.4,2024-09-29,-149.4
10923,65.0,-120.56,2024-09-29,42.77
10923,502.0,5.43,2024-09-29,-103.39
10925,331.0,-251.19,2024-09-29,-397.97
10925,570.0,-99.19,2024-09-29,164.13
10927,406.0,216.0,2024-09-29,362.79
10927,577.0,15.0,2024-09-29,28.57
10928,332.0,734.51,2024-09-29,792.09
10928,566.0,827.63,2024-09-29,787.26
10929,104.0,636.37,2024-09-29,361.82
10929,245.0,329.64,2024-09-29,140.77
10931,451.0,-299.51,2024-09-29,-659.51
10931,501.0,-275.68,2024-09-29,-74.6
10758,29.0,802.45,2024-10-05,641.57
10758,56.0,349.77,2024-10-05,337.25
10759,1.0,851.94,2024-10-05,673.06
10759,442.0,98.06,2024-10-05,-22.85
10783,92.0,51.65,2024-10-05,-166.29
10783,452.0,-45.15,2024-10-05,331.25
10932,23.0,140.88,2024-10-05,452.85
10932,498.0,62.09,2024-10-05,340.8
10933,44.0,447.6,2024-10-05,272.55
10933,329.0,82.67,2024-10-05,89.4
10937,205.0,658.9,2024-10-05,548.04
10937,569.0,0.05,2024-10-05,288.13
10939,446.0,251.42,2024-10-05,81.94
10939,581.0,0.02,2024-10-05,12.46
10940,269.0,735.93,2024-10-05,553.03
10940,397.0,210.18,2024-10-05,1092.23
10944,12.0,-179.28,2024-10-05,-272.97
10944,239.0,325.88,2024-10-05,443.09
10947,331.0,-62.15,2024-10-05,-251.19
10947,406.0,193.59,2024-10-05,216.0
10955,375.0,891.88,2024-10-05,382.75
10955,574.0,0.02,2024-10-05,-472.39
10956,216.0,-187.25,2024-10-05,203.97
10956,499.0,0.01,2024-10-05,-26.4
10957,215.0,-24.7,2024-10-05,256.94
10957,431.0,-10.78,2024-10-05,667.01
10958,401.0,-649.09,2024-10-05,-926.17
10958,449.0,200.14,2024-10-05,-114.89
10959,451.0,0.01,2024-10-05,-299.51
10959,453.0,0.01,2024-10-05,-605.43
10962,48.0,318.76,2024-10-05,816.41
10962,440.0,-305.44,2024-10-05,217.86
10757,46.0,-29.93,2024-10-06,-211.89
10757,578.0,0.01,2024-10-06,705.74
10760,49.0,102.65,2024-10-06,201.86
10760,442.0,113.72,2024-10-06,98.06
10761,447.0,-10.11,2024-10-06,-523.92
10761,505.0,-22.74,2024-10-06,620.24
10762,17.0,-26.69,2024-10-06,1178.66
10762,580.0,-62.58,2024-10-06,712.34
10784,333.0,506.16,2024-10-06,363.66
10784,393.0,0.01,2024-10-06,441.04
10786,396.0,-477.21,2024-10-06,-561.25
10786,494.0,85.78,2024-10-06,603.8
10934,207.0,85.18,2024-10-06,9.31
10934,438.0,231.5,2024-10-06,713.56
10935,189.0,163.05,2024-10-06,-77.4
10935,214.0,35.66,2024-10-06,270.46
10936,22.0,174.01,2024-10-06,95.72
10936,336.0,166.68,2024-10-06,135.89
10946,332.0,120.05,2024-10-06,734.51
10946,568.0,191.09,2024-10-06,596.57
10948,405.0,70.27,2024-10-06,235.49
10948,570.0,-27.64,2024-10-06,-99.19
10949,448.0,30.68,2024-10-06,-175.94
10949,582.0,-3.59,2024-10-06,0.0
10950,502.0,-9.65,2024-10-06,5.43
10950,566.0,0.02,2024-10-06,827.63
