ID game,ID team,ID player,missed pucks,total throws,% of reflected shots
7400.00,8.00,1557.00,2.00,19.00,89.47
7400.00,407.00,4339.00,4.00,21.00,80.95
7390.00,329.00,4246.00,3.00,9.00,66.67
7390.00,450.00,4933.00,4.00,58.00,93.10
7405.00,132.00,1060.00,6.00,26.00,76.92
7405.00,104.00,5561.00,3.00,18.00,83.33
7083.00,111.00,3717.00,7.00,26.00,73.08
7083.00,15.00,7519.00,4.00,29.00,86.21
7408.00,400.00,8040.00,5.00,25.00,80.00
7408.00,411.00,5723.00,4.00,19.00,78.95
7449.00,440.00,5123.00,7.00,35.00,80.00
7449.00,403.00,1311.00,5.00,31.00,83.87
7016.00,49.00,222.00,4.00,14.00,71.43
7016.00,56.00,995.00,3.00,35.00,91.43
7445.00,109.00,6040.00,9.00,34.00,73.53
7445.00,131.00,520.00,1.00,21.00,95.24
7444.00,48.00,195.00,8.00,23.00,65.22
7444.00,187.00,3717.00,10.00,30.00,66.67
7453.00,189.00,5121.00,1.00,15.00,93.33
7453.00,207.00,908.00,6.00,44.00,86.36
7014.00,4.00,1376.00,3.00,17.00,82.35
7014.00,29.00,673.00,2.00,37.00,94.59
7470.00,53.00,1311.00,5.00,18.00,72.22
7470.00,405.00,1407.00,4.00,29.00,86.21
7461.00,215.00,16.00,3.00,21.00,85.71
7461.00,332.00,3072.00,7.00,28.00,75.00
7085.00,452.00,7821.00,1.00,27.00,96.30
7085.00,31.00,7542.00,2.00,16.00,87.50
7471.00,410.00,6068.00,0.00,11.00,100.00
7471.00,408.00,667.00,3.00,25.00,88.00
7462.00,431.00,8407.00,1.00,11.00,90.91
7462.00,449.00,1194.00,3.00,43.00,93.02
7456.00,331.00,4524.00,2.00,11.00,81.82
7456.00,38.00,4256.00,6.00,29.00,79.31
7448.00,214.00,8012.00,4.00,25.00,84.00
7448.00,23.00,2559.00,5.00,39.00,87.18
7466.00,400.00,7809.00,4.00,25.00,84.00
7467.00,438.00,6325.00,6.00,29.00,79.31
7467.00,205.00,1046.00,2.00,13.00,84.62
7015.00,1.00,7472.00,3.00,29.00,89.66
7015.00,17.00,8010.00,4.00,33.00,87.88
7013.00,46.00,5751.00,5.00,28.00,82.14
7013.00,442.00,7850.00,3.00,17.00,82.35
7451.00,336.00,5536.00,3.00,21.00,85.71
7451.00,64.00,7222.00,2.00,26.00,92.31
7469.00,138.00,5123.00,4.00,24.00,83.33
7469.00,329.00,4246.00,6.00,20.00,70.00
7446.00,409.00,1308.00,0.00,25.00,100.00
7446.00,208.00,979.00,2.00,27.00,92.59
7460.00,401.00,6045.00,6.00,34.00,82.35
7460.00,130.00,5694.00,3.00,20.00,85.00
7086.00,399.00,7472.00,7.00,35.00,80.00
7086.00,12.00,6605.00,3.00,23.00,86.96
7491.00,65.00,5774.00,2.00,21.00,90.48
7491.00,406.00,7837.00,5.00,30.00,83.33
7457.00,104.00,5561.00,2.00,7.00,71.43
7457.00,445.00,7883.00,12.00,29.00,58.62
7450.00,129.00,2309.00,6.00,18.00,66.67
7450.00,441.00,7923.00,3.00,29.00,89.66
7468.00,211.00,2458.00,3.00,28.00,89.29
7468.00,443.00,6600.00,4.00,24.00,83.33
7458.00,404.00,7144.00,1.00,23.00,95.65
7452.00,110.00,569.00,7.00,33.00,78.79
7455.00,407.00,4339.00,6.00,25.00,76.00
7455.00,269.00,2438.00,2.00,28.00,92.86
7452.00,448.00,7966.00,6.00,27.00,77.78
7087.00,111.00,10.00,4.00,27.00,85.19
7087.00,396.00,6488.00,6.00,22.00,72.73
7459.00,446.00,7979.00,7.00,12.00,41.67
7459.00,61.00,4410.00,5.00,15.00,66.67
7463.00,176.00,5509.00,2.00,21.00,90.48
7463.00,375.00,4360.00,0.00,17.00,100.00
7454.00,8.00,1557.00,2.00,25.00,92.00
7088.00,15.00,7519.00,8.00,35.00,77.14
7088.00,239.00,938.00,3.00,26.00,88.46
7443.00,333.00,938.00,4.00,32.00,87.50
7443.00,379.00,6600.00,5.00,30.00,83.33
7464.00,453.00,7934.00,16.00,46.00,65.22
7464.00,439.00,7816.00,0.00,5.00,100.00
7447.00,22.00,4435.00,3.00,39.00,92.31
7465.00,451.00,573.00,8.00,27.00,70.37
7465.00,411.00,5717.00,0.00,8.00,100.00
7532.00,61.00,4410.00,4.00,22.00,81.82
7515.00,335.00,6265.00,1.00,18.00,94.44
7515.00,336.00,1557.00,3.00,21.00,85.71
7018.00,4.00,998.00,5.00,34.00,85.29
7018.00,56.00,995.00,1.00,19.00,94.74
7533.00,401.00,6045.00,6.00,20.00,70.00
7533.00,375.00,5639.00,7.00,41.00,82.93
7531.00,205.00,1046.00,1.00,27.00,96.30
7531.00,65.00,5774.00,5.00,17.00,70.59
7523.00,407.00,4339.00,3.00,18.00,83.33
7523.00,189.00,5121.00,5.00,27.00,81.48
7534.00,176.00,5509.00,2.00,10.00,80.00
7534.00,400.00,8040.00,0.00,24.00,100.00
