ID player,amplua,games,goals,assists,assists_2,throws_by,shot_on_target,blocked_throws,p_m
720,10.0,48,14.0,23.0,10.0,79.0,146.0,16.0,26.0
721,9.0,18,2.0,2.0,1.0,27.0,32.0,12.0,-14.0
724,10.0,31,10.0,11.0,5.0,88.0,120.0,12.0,1.0
725,10.0,35,13.0,7.0,2.0,27.0,62.0,2.0,-18.0
727,10.0,60,25.0,20.0,3.0,82.0,143.0,41.0,13.0
729,9.0,16,2.0,3.0,2.0,13.0,33.0,2.0,-4.0
730,9.0,34,2.0,4.0,0.0,31.0,28.0,8.0,-11.0
731,9.0,41,0.0,3.0,1.0,35.0,26.0,28.0,-5.0
733,10.0,71,32.0,19.0,4.0,113.0,212.0,32.0,32.0
734,10.0,24,11.0,7.0,4.0,53.0,91.0,6.0,2.0
738,9.0,52,2.0,2.0,2.0,41.0,60.0,20.0,-5.0
741,9.0,4,1.0,0.0,0.0,2.0,5.0,1.0,-3.0
742,10.0,2,1.0,1.0,0.0,1.0,1.0,0.0,-1.0
744,9.0,11,3.0,3.0,1.0,25.0,50.0,1.0,-29.0
745,10.0,1,0.0,1.0,0.0,0.0,0.0,0.0,3.0
746,10.0,56,29.0,16.0,8.0,67.0,183.0,39.0,31.0
747,10.0,6,2.0,0.0,0.0,4.0,9.0,0.0,-3.0
748,9.0,41,6.0,11.0,6.0,81.0,85.0,24.0,23.0
749,10.0,50,36.0,17.0,7.0,90.0,169.0,6.0,-17.0
751,10.0,20,5.0,2.0,3.0,27.0,28.0,5.0,-15.0
755,10.0,44,10.0,10.0,4.0,53.0,70.0,33.0,19.0
756,9.0,29,5.0,9.0,1.0,40.0,38.0,12.0,14.0
757,9.0,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
758,9.0,19,1.0,2.0,0.0,11.0,7.0,5.0,-16.0
759,9.0,62,62.0,33.0,17.0,170.0,298.0,27.0,20.0
763,10.0,58,24.0,28.0,8.0,63.0,130.0,9.0,27.0
764,10.0,5,5.0,2.0,0.0,6.0,16.0,0.0,1.0
765,9.0,94,22.0,12.0,22.0,193.0,220.0,74.0,24.0
766,9.0,9,2.0,3.0,0.0,13.0,13.0,6.0,-4.0
767,10.0,28,9.0,8.0,1.0,21.0,36.0,2.0,3.0
768,10.0,10,11.0,4.0,4.0,39.0,62.0,4.0,11.0
769,9.0,25,4.0,2.0,1.0,9.0,19.0,14.0,-1.0
772,9.0,29,1.0,3.0,3.0,53.0,59.0,32.0,-8.0
774,10.0,43,6.0,4.0,2.0,30.0,53.0,3.0,-17.0
785,10.0,54,8.0,14.0,5.0,57.0,124.0,17.0,-11.0
801,10.0,42,22.0,18.0,3.0,66.0,125.0,8.0,36.0
